datetime,F,GM,cash,commission,total,returns,equity_curve,drawdown
2011-01-01 00:00:00,0.0,0.0,100000.0,0.0,100000.0,,,
2014-01-02 09:30:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 09:35:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 09:40:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 09:45:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 09:50:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 09:55:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:05:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:10:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:15:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:20:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:25:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:30:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:35:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:40:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:45:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:50:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 10:55:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:05:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:10:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:15:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:20:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:25:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:30:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:35:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:40:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:45:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:50:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 11:55:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:05:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:10:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:15:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:20:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:25:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:30:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:35:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:40:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:45:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:50:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 12:55:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:05:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:10:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:15:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:20:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:25:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:30:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:35:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:40:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:45:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:50:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 13:55:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 14:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 14:05:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-01-02 14:10:00,-4998.368146214099,4992.639842983318,99993.26439938814,6.735600611873105,99987.53609615736,-0.00012463903842641066,0.9998753609615736,0.00012463903842641066
2014-01-02 14:15:00,-4993.472584856397,4988.959764474976,99993.26439938814,6.735600611873105,99988.75157900671,1.215634364859497e-05,0.9998875157900672,0.00011248420993281716
2014-01-02 14:20:00,-4997.389033942559,4987.7330716388615,99993.26439938814,6.735600611873105,99983.60843708445,-5.1437205096038774e-05,0.9998360843708445,0.00016391562915551994
2014-01-02 14:25:00,-4993.505221932115,4982.826300294407,99993.26439938814,6.735600611873105,99982.58547775043,-1.0231270405336446e-05,0.9998258547775043,0.00017414522249570297
2014-01-02 14:30:00,-4996.768929503916,4985.893032384692,99993.26439938814,6.735600611873105,99982.3885022689,-1.9700978983738793e-06,0.999823885022689,0.00017611497731095938
2014-01-02 14:35:00,-4993.472584856397,4988.959764474976,99993.26439938814,6.735600611873105,99988.75157900671,6.364197568320407e-05,0.9998875157900672,0.00011248420993281716
2014-01-02 14:40:00,-4998.368146214099,4992.639842983318,99993.26439938814,6.735600611873105,99987.53609615736,-1.2156195873580522e-05,0.9998753609615737,0.00012463903842629964
2014-01-02 14:45:00,-5000.783289817233,5002.453385672228,99993.26439938814,6.735600611873105,99994.93449524313,7.399321330070485e-05,0.9999493449524315,5.0655047568515243e-05
2014-01-02 14:50:00,-5001.631853785901,5004.293424926399,99993.26439938814,6.735600611873105,99995.92597052862,9.915255112735721e-06,0.9999592597052865,4.074029471345941e-05
2014-01-02 14:55:00,-5004.895561357703,5012.2669283611385,99993.26439938814,6.735600611873105,100000.63576639157,4.709987749240696e-05,1.000006357663916,0.0
2014-01-02 15:00:00,-5004.895561357703,5006.746810598626,99993.26439938814,6.735600611873105,99995.11564862906,-5.5200826676871095e-05,0.9999511564862908,5.520117762514154e-05
2014-01-02 15:05:00,-5006.527415143603,5012.2669283611385,99993.26439938814,6.735600611873105,99999.00391260567,3.888453902356481e-05,0.9999900391260569,1.6318537859105753e-05
2014-01-02 15:10:00,-5017.297650130548,5022.080471050049,99993.26439938814,6.735600611873105,99998.04722030764,-9.567018276146477e-06,0.9999804722030766,2.5885460839369934e-05
2014-01-02 15:15:00,-5024.477806788512,5025.147203140335,99993.26439938814,6.735600611873105,99993.93379573997,-4.113504895353337e-05,0.9999393379574,6.701970651601385e-05
2014-01-02 15:20:00,-5024.477806788512,5028.827281648675,99993.26439938814,6.735600611873105,99997.6138742483,3.680301762964966e-05,0.9999761387424834,3.021892143262317e-05
2014-01-02 15:25:00,-5026.109660574412,5024.533856722277,99993.26439938814,6.735600611873105,99991.688595536,-5.925420100272305e-05,0.9999168859553604,8.94717085555552e-05
2014-01-02 15:30:00,-5029.3733681462145,5022.080471050049,99993.26439938814,6.735600611873105,99985.97150229197,-5.717568454277622e-05,0.99985971502292,0.00014664264099595314
2014-01-02 15:35:00,-5031.005221932114,5015.94700686948,99993.26439938814,6.735600611873105,99978.2061843255,-7.766407476761383e-05,0.9997820618432554,0.00022429582066063602
2014-01-02 15:40:00,-5032.637075718016,5020.853778213936,99993.26439938814,6.735600611873105,99981.48110188406,3.2756314436221956e-05,0.9998148110188407,0.00019154664507525787
2014-01-02 15:45:00,-5037.532637075718,5028.2139352306185,99993.26439938814,6.735600611873105,99983.94569754304,2.4650521594837826e-05,0.9998394569754306,0.00016690068848534967
2014-01-02 15:50:00,-5034.268929503916,5030.667320902846,99993.26439938814,6.735600611873105,99989.66279078707,5.7180112308596875e-05,0.999896627907871,0.00010972975604495172
2014-01-02 15:55:00,-5039.164490861619,5024.533856722277,99993.26439938814,6.735600611873105,99978.6337652488,-0.00011030165749581489,0.9997863376524884,0.00022002001142762406
2014-01-03 09:30:00,0.0,0.0,99971.89816463692,13.471201223746212,99971.89816463692,-6.737040063675703e-05,0.9997189816463695,0.00028737601754647013
2014-01-03 09:35:00,0.0,0.0,99971.89816463692,13.471201223746212,99971.89816463692,0.0,0.9997189816463695,0.00028737601754647013
2014-01-03 09:40:00,0.0,0.0,99971.89816463692,13.471201223746212,99971.89816463692,0.0,0.9997189816463695,0.00028737601754647013
2014-01-03 09:45:00,0.0,0.0,99971.89816463692,13.471201223746212,99971.89816463692,0.0,0.9997189816463695,0.00028737601754647013
2014-01-03 09:50:00,0.0,0.0,99971.89816463692,13.471201223746212,99971.89816463692,0.0,0.9997189816463695,0.00028737601754647013
2014-01-03 09:55:00,0.0,0.0,99971.89816463692,13.471201223746212,99971.89816463692,0.0,0.9997189816463695,0.00028737601754647013
2014-01-03 10:00:00,0.0,0.0,99971.89816463692,13.471201223746212,99971.89816463692,0.0,0.9997189816463695,0.00028737601754647013
2014-01-03 10:05:00,0.0,0.0,99971.89816463692,13.471201223746212,99971.89816463692,0.0,0.9997189816463695,0.00028737601754647013
2014-01-03 10:10:00,5027.071102413568,-4988.598935900684,99965.10561938096,20.263746479698735,100003.57778589385,0.00031688526314432863,1.0000357778589388,0.0
